"","ID","TotID","Year","Plot","SPP","Status","RWI.x","gini.x","PmET.x","CMD.x","tCWD.x","mTMX.x","mTMN.x","tPPT.x","TerraDEF.x","TerraPDSI.x","cindex.x","mHSF.x","sdHSF.x","mLumenLength.x","sdLumenLength.x","mdblwall.x","sddblwall.x","mHSFsl.x","sdHSFsl.x","c(TotID)","RWI","gini","PmET","CMD","tCWD","mTMX","mTMN","tPPT","TerraDEF","TerraPDSI","cindex","mHSF","sdHSF","mLumenLength","sdLumenLength","mdblwall","sddblwall","mHSFsl","sdHSFsl","RWI.x1","gini.x1","PmET.x1","CMD.x1","tCWD.x1","mTMX.x1","mTMN.x1","tPPT.x1","TerraDEF.x1","TerraPDSI.x1","cindex.x1","mHSF.x1","sdHSF.x1","mLumenLength.x1","sdLumenLength.x1","RWI.x2","gini.x2","PmET.x2","CMD.x2","tCWD.x2","mTMX.x2","mTMN.x2","tPPT.x2","TerraDEF.x2","TerraPDSI.x2","cindex.x2","mHSF.x2","sdHSF.x2","mLumenLength.x2","sdLumenLength.x2","RWIDEF","RWIDEF1","RWIPET","RWIPET1","RWICWD","RWICWD1","RWICMD","RWICMD1","RWIPDSI","RWIPDSI1","RWITMN","RWITMN1","mHSFDEF","mHSFDEF1","mHSFPET","mHSFPET1","mHSFCWD","mHSFCWD1","mHSFCMD","mHSFCMD1","mHSFPDSI","mHSFPDSI1","mHSFTMN","mHSFTMN1","HSFgini"
"RP1027","RP1027",4566,2017,"RP1","PIPO",0,0.947387855216561,0.1765,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,4.565301985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.947387855216561,0.1765,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,4.565301985,NA,NA,NA,NA,0.947387855216561,0.1765,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,4.565301985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RP1029","RP1029",4567,2017,"RP1","PIPO",0,0.945976604351446,0.17,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,5.596673363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.945976604351446,0.17,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,5.596673363,NA,NA,NA,NA,0.945976604351446,0.17,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,5.596673363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RP1033","RP1033",4568,2017,"RP1","PIPO",0,0.985187683981029,0.288,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,13.70034297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.985187683981029,0.288,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,13.70034297,NA,NA,NA,NA,0.985187683981029,0.288,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,13.70034297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RP1045","RP1045",4569,2017,"RP1","PIPO",0,0.581071337438996,0.247,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.581071337438996,0.247,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,NA,NA,NA,NA,NA,0.581071337438996,0.247,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RP1136","RP1136",4570,2017,"RP1","PIPO",0,0.857529152983997,0.326,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,17.06354139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.857529152983997,0.326,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,17.06354139,NA,NA,NA,NA,0.857529152983997,0.326,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,17.06354139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RP1156","RP1156",4571,2017,"RP1","PIPO",0,0.342640718823881,0.313,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.342640718823881,0.313,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,NA,NA,NA,NA,NA,0.342640718823881,0.313,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RP1611","RP1611",4572,2017,"RP1","PIPO",0,0.544807565432167,0.368,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,4.313549685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.544807565432167,0.368,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,4.313549685,NA,NA,NA,NA,0.544807565432167,0.368,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,4.313549685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RP1632","RP1632",4573,2017,"RP1","PIPO",0,0.60965409149911,0.195,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,6.150028649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60965409149911,0.195,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,6.150028649,NA,NA,NA,NA,0.60965409149911,0.195,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,6.150028649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RP1643","RP1643",4574,2017,"RP1","PIPO",0,1.00358647784232,0.158,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,9.669306096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00358647784232,0.158,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,9.669306096,NA,NA,NA,NA,1.00358647784232,0.158,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,9.669306096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RP1DT1","RP1DT1",4575,2017,"RP1","PIPO",1,1.90803590071916,0.522,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,2.414939319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.90803590071916,0.522,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,2.414939319,NA,NA,NA,NA,1.90803590071916,0.522,NA,786,508.4,33.3,13.32,0.07,660.8,59.39,2.414939319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
