"","ID","Year","Plot","SPP","Status","RWI","gini","CMD","tCWD","mTMN","tPPT","PmET","TerraDEF","TerraPDSI","mHSF","sdHSF","mLumenLength","sdLumenLength","mdblwall","sddblwall","mHSFsl","sdHSFsl","LastDBH","cindex","RWI1","gini1","CMD1","tCWD1","mTMN1","tPPT1","PmET1","TerraDEF1","TerraPDSI1","mHSF1","sdHSF1","mLumenLength1","sdLumenLength1","mdblwall1","sddblwall1","mHSFsl1","sdHSFsl1","RWI2","gini2","CMD2","tCWD2","mTMN2","tPPT2","PmET2","TerraDEF2","TerraPDSI2","mHSF2","sdHSF2","mLumenLength2","sdLumenLength2","mdblwall2","sddblwall2","mHSFsl2","sdHSFsl2","RWIDEF","RWIDEF1","RWICWD","RWICWD1","RWIPET","RWIPET1","RWICMD","RWICMD1","RWIPDSI","RWIPDSI1","RWITMN","RWITMN1","mHSFDEF","mHSFDEF1","mHSFCWD","mHSFCWD1","mHSFPET","mHSFPET1","mHSFCMD","mHSFCMD1","mHSFPDSI","mHSFPDSI1","mHSFTMN","mHSFTMN1","HSFgini"
"131","TJPOP1",2017,"TJP","PIPO",0,0.738292136879442,0.484,510,440.7,7.99,1.14,-181.430268,531.4,41.98,0.951279236005353,1.16662397227661,5.86203474963682,3.93653472845078,2.43758087554317,2.64559927962647,2379.88046659192,2940.29366321872,71,4.91415097742965,0.738292136879442,0.484,510,440.7,7.99,1.14,-181.430268,531.4,41.98,0.951279236005353,1.16662397227661,5.86203474963682,3.93653472845078,2.43758087554317,2.64559927962647,2379.88046659192,2940.29366321872,0.738292136879442,0.484,510,440.7,7.99,1.14,-181.430268,531.4,41.98,0.951279236005353,1.16662397227661,5.86203474963682,3.93653472845078,2.43758087554317,2.64559927962647,2379.88046659192,2940.29366321872,-0.384939130484615,-0.384939130484615,-0.45645198529873,-0.45645198529873,0.162972025204953,0.162972025204953,-0.282013055266273,-0.282013055266273,0.123918203222016,0.123918203222016,-0.0755746840301422,-0.0755746840301422,-0.014587133965515,-0.014587133965515,-0.150475282641422,-0.150475282641422,-0.120460118865896,-0.120460118865896,-0.140790532011075,-0.140790532011075,-0.0743716601206569,-0.0743716601206569,-0.0986848480538141,-0.0986848480538141,0.117
"132","TJPOP2",2017,"TJP","PIJE",0,0.838591771045501,0.288,510,440.7,7.99,1.14,-181.430268,531.4,41.98,0.406997692756455,0.720515598334982,17.4566770709027,7.59402597456722,6.64969528272453,4.5061964018931,3839.96052408241,4250.18440894128,72.1,4.49362201193336,0.838591771045501,0.288,510,440.7,7.99,1.14,-181.430268,531.4,41.98,0.406997692756455,0.720515598334982,17.4566770709027,7.59402597456722,6.64969528272453,4.5061964018931,3839.96052408241,4250.18440894128,0.838591771045501,0.288,510,440.7,7.99,1.14,-181.430268,531.4,41.98,0.406997692756455,0.720515598334982,17.4566770709027,7.59402597456722,6.64969528272453,4.5061964018931,3839.96052408241,4250.18440894128,-0.0896537739285806,-0.0896537739285806,-0.163119713545191,-0.163119713545191,0.074536660608621,0.074536660608621,-0.173169343997186,-0.173169343997186,0.105800778099151,0.105800778099151,0.00221587654786581,0.00221587654786581,-0.286889473490505,-0.286889473490505,-0.137635474587261,-0.137635474587261,0.31509899101204,0.31509899101204,-0.0733646719064961,-0.0733646719064961,-0.0214365386588204,-0.0214365386588204,-0.233512013200614,-0.233512013200614,0
"133","TP1001",2017,"TP1","PIPO",0,1.1041888217188,0.188,718,501.1,12.98,0.43,-168.568176,477.5,48.82,1.55988306133028,9.27125046782843,24.5385918699187,15.4378063731771,12.0868822822823,17.7869924157771,7031.1733911352,6413.50008693807,24.5,5.75189372538129,1.1041888217188,0.188,718,501.1,12.98,0.43,-168.568176,477.5,48.82,1.55988306133028,9.27125046782843,24.5385918699187,15.4378063731771,12.0868822822823,17.7869924157771,7031.1733911352,6413.50008693807,1.1041888217188,0.188,718,501.1,12.98,0.43,-168.568176,477.5,48.82,1.55988306133028,9.27125046782843,24.5385918699187,15.4378063731771,12.0868822822823,17.7869924157771,7031.1733911352,6413.50008693807,-0.229839220583342,-0.229839220583342,-0.387713191608802,-0.387713191608802,0.230997656454598,0.230997656454598,-0.23493945013511,-0.23493945013511,0.257293804098238,0.257293804098238,0.189371404294149,0.189371404294149,-0.0333084781764545,-0.0333084781764545,0.15927816735681,0.15927816735681,-0.116018340735418,-0.116018340735418,0.152419966437724,0.152419966437724,0.0391433053005971,0.0391433053005971,0.0575831595742033,0.0575831595742033,0
"134","TP1D10",2017,"TP1","PIPO",1,0.392761456170377,0.126,718,501.1,12.98,0.43,-168.568176,477.5,48.82,0.851254523137151,0.787422692133845,23.2819450207469,14.8169397563246,12.0868822822823,7.83841656452143,5704.38463504943,6315.60566326875,40.6,8.834464248477,0.392761456170377,0.126,718,501.1,12.98,0.43,-168.568176,477.5,48.82,0.851254523137151,0.787422692133845,23.2819450207469,14.8169397563246,12.0868822822823,7.83841656452143,5704.38463504943,6315.60566326875,0.392761456170377,0.126,718,501.1,12.98,0.43,-168.568176,477.5,48.82,0.851254523137151,0.787422692133845,23.2819450207469,14.8169397563246,12.0868822822823,7.83841656452143,5704.38463504943,6315.60566326875,0.118353432344498,0.118353432344498,0.0371652933337289,0.0371652933337289,0.054816561633946,0.054816561633946,-0.0385628774496949,-0.0385628774496949,-0.355425397567191,-0.355425397567191,-0.36829829921669,-0.36829829921669,0.000796996496927576,0.000796996496927576,0.0214414769859484,0.0214414769859484,0.259976861180671,0.259976861180671,-0.0459263904584689,-0.0459263904584689,0.406155909674421,0.406155909674421,-0.0143824721877095,-0.0143824721877095,0
"135","PRM004",2016,"RJP","PIJE",0,1.05733936726428,0.309,501,506.30000753,-4.37,921.300013738,278.85321,688.9,-12.39,0.229830887561612,0.323926691108006,38.6395893081761,10.0122471092598,15.1279542976939,6.1310853527767,4801.27906650151,3005.02739238958,24.7,5.75189372538129,1.05733936726428,0.309,501,506.30000753,-4.37,921.300013738,278.85321,688.9,-12.39,0.229830887561612,0.323926691108006,38.6395893081761,10.0122471092598,15.1279542976939,6.1310853527767,4801.27906650151,3005.02739238958,1.05733936726428,0.309,501,506.30000753,-4.37,921.300013738,278.85321,688.9,-12.39,0.229830887561612,0.323926691108006,38.6395893081761,10.0122471092598,15.1279542976939,6.1310853527767,4801.27906650151,3005.02739238958,0.874400409711227,0.874400409711227,0.721570979064963,0.721570979064963,0.348867200184826,0.348867200184826,0.410434779520197,0.410434779520197,0.736214839448474,0.736214839448474,0.863203736447027,0.863203736447027,-0.459348273187621,-0.459348273187621,-0.727679478839728,-0.727679478839728,-0.189046409818789,-0.189046409818789,-0.189902405105788,-0.189902405105788,-0.093697456531294,-0.093697456531294,-0.33210125219759,-0.33210125219759,0.117
"136","PRM010",2016,"RJP","PIPO",0,0.00509294462210659,0.263,689,859.58,-1.58,514.400007609,-63.350586,807.3,-3.33,0.136282388161303,0.262236871898231,39.2703626415094,15.5236693421349,7.20782452830189,5.1038502983304,22126.2709177104,15963.2506395514,32.7,18.232461266775,0.00509294462210659,0.263,689,859.58,-1.58,514.400007609,-63.350586,807.3,-3.33,0.136282388161303,0.262236871898231,39.2703626415094,15.5236693421349,7.20782452830189,5.1038502983304,22126.2709177104,15963.2506395514,0.00509294462210659,0.263,689,859.58,-1.58,514.400007609,-63.350586,807.3,-3.33,0.136282388161303,0.262236871898231,39.2703626415094,15.5236693421349,7.20782452830189,5.1038502983304,22126.2709177104,15963.2506395514,0.0616429991018823,0.0616429991018823,-0.246855884797604,-0.246855884797604,-0.302483310245602,-0.302483310245602,0.571100860632635,0.571100860632635,-0.614654327286489,-0.614654327286489,0.127466484632209,0.127466484632209,-0.657257207507326,-0.657257207507326,-0.472218348505331,-0.472218348505331,0.445279089637922,0.445279089637922,-0.531058535374276,-0.531058535374276,0.335332986180313,0.335332986180313,-0.828902846624788,-0.828902846624788,0.143
"137","PRM011",2016,"RP1","PIPO",0,0.928373591045575,0.274,867,936.800013989,2.41,757.800011272,-57.02032,846.5,-3.33,0.140727192353086,0.188627588659618,36.9284225845411,12.8164602143072,8.55682644927536,5.31864064723103,9816.13713973304,9733.91632235476,15.3,27.856336968235,0.928373591045575,0.274,867,936.800013989,2.41,757.800011272,-57.02032,846.5,-3.33,0.140727192353086,0.188627588659618,36.9284225845411,12.8164602143072,8.55682644927536,5.31864064723103,9816.13713973304,9733.91632235476,0.928373591045575,0.274,867,936.800013989,2.41,757.800011272,-57.02032,846.5,-3.33,0.140727192353086,0.188627588659618,36.9284225845411,12.8164602143072,8.55682644927536,5.31864064723103,9816.13713973304,9733.91632235476,0.520091184438876,0.520091184438876,-0.186610918628256,-0.186610918628256,-0.484317456656831,-0.484317456656831,-0.241766209647969,-0.241766209647969,-0.496509766873443,-0.496509766873443,-0.0875692725402563,-0.0875692725402563,-0.15315472432665,-0.15315472432665,-0.00890154240016284,-0.00890154240016284,0.445074608146884,0.445074608146884,-0.323553669628688,-0.323553669628688,-0.717274292012483,-0.717274292012483,-0.501292310979693,-0.501292310979693,0.131
"138","PRM012",2016,"SP1","PIPO",1,0.668929868616347,0.263,721,471.42,0.24,1268.80001894,342.97864,767.5,42.62,0.17585645340669,0.188490873165018,35.6253128668172,14.6003932992329,10.7780769751693,7.48207243623692,10686.9280404716,10996.5385401492,32.7,18.232461266775,0.668929868616347,0.263,721,471.42,0.24,1268.80001894,342.97864,767.5,42.62,0.17585645340669,0.188490873165018,35.6253128668172,14.6003932992329,10.7780769751693,7.48207243623692,10686.9280404716,10996.5385401492,0.668929868616347,0.263,721,471.42,0.24,1268.80001894,342.97864,767.5,42.62,0.17585645340669,0.188490873165018,35.6253128668172,14.6003932992329,10.7780769751693,7.48207243623692,10686.9280404716,10996.5385401492,0.452089777695675,0.452089777695675,0.511299200399189,0.511299200399189,-0.935429430728907,-0.935429430728907,0.243941473210789,0.243941473210789,-0.652007450923059,-0.652007450923059,-0.689224509813671,-0.689224509813671,0.15768926441346,0.15768926441346,0.264180180580771,0.264180180580771,-0.225590405678347,-0.225590405678347,0.507928015153192,0.507928015153192,-0.746885825154742,-0.746885825154742,-0.20522540036735,-0.20522540036735,0.085
"139","RP1804",2014,"RP1","PIPO",0,0.967021353044554,0.22,842,863.00001282,0.48,423.700006313,-272.311096,1129.4,-67.57,0.265624798649838,0.314104972253245,30.2719135278515,15.7018666773881,12.0024809018568,7.89398969012328,8454.70059388012,10718.9654228414,0.9,80.1130006160418,0.967021353044554,0.22,842,863.00001282,0.48,423.700006313,-272.311096,1129.4,-67.57,0.265624798649838,0.314104972253245,30.2719135278515,15.7018666773881,12.0024809018568,7.89398969012328,8454.70059388012,10718.9654228414,0.967021353044554,0.22,842,863.00001282,0.48,423.700006313,-272.311096,1129.4,-67.57,0.265624798649838,0.314104972253245,30.2719135278515,15.7018666773881,12.0024809018568,7.89398969012328,8454.70059388012,10718.9654228414,0.317810453667685,0.317810453667685,0.387104283675083,0.387104283675083,-0.712576064459305,-0.712576064459305,0.767629260799844,0.767629260799844,0.286511692902488,0.286511692902488,0.251574934891676,0.251574934891676,-0.391273092697108,-0.391273092697108,0.349676345952154,0.349676345952154,0.819826137109724,0.819826137109724,0.064408599638732,0.064408599638732,0.682707128830525,0.682707128830525,0.225825877157742,0.225825877157742,0.153
"140","SJ1OZ3",2016,"SP1","PIJE",1,0.72511169540854,0.304,595,388,-9.199999794,1531.900022843,763.2321,553.9,11,2.86970763379457,10.626581583542,5.69088428343101,4.05307539679903,12.3554210708578,31.4903223102642,1062.47400964931,1355.63129776411,49.4,1.45019355750001,0.72511169540854,0.304,595,388,-9.199999794,1531.900022843,763.2321,553.9,11,2.86970763379457,10.626581583542,5.69088428343101,4.05307539679903,12.3554210708578,31.4903223102642,1062.47400964931,1355.63129776411,0.72511169540854,0.304,595,388,-9.199999794,1531.900022843,763.2321,553.9,11,2.86970763379457,10.626581583542,5.69088428343101,4.05307539679903,12.3554210708578,31.4903223102642,1062.47400964931,1355.63129776411,0.874400409711227,NA,0.0298189028700104,NA,-0.899168927834639,NA,0.4788437002774,NA,-0.197472261667109,NA,-0.138383567854724,NA,0.2301404745982,NA,-0.517201019200956,NA,-0.247117960988498,NA,-0.424422606798046,NA,-0.169170178281261,NA,0.791917365810179,NA,0
"141","SJ1OZ4",2016,"SJP","PIJE",0,0.908151644817873,0.309,556,320.43,-4.45,1268.80001894,565.5766602,539.5,-33.66,1.4447316306354,8.0607294801816,5.04498287243533,3.1053495656781,4.82985655664585,14.6343990879967,2392.77253891605,2694.59908589016,49.4,1.45019355750001,0.908151644817873,0.309,556,320.43,-4.45,1268.80001894,565.5766602,539.5,-33.66,1.4447316306354,8.0607294801816,5.04498287243533,3.1053495656781,4.82985655664585,14.6343990879967,2392.77253891605,2694.59908589016,0.908151644817873,0.309,556,320.43,-4.45,1268.80001894,565.5766602,539.5,-33.66,1.4447316306354,8.0607294801816,5.04498287243533,3.1053495656781,4.82985655664585,14.6343990879967,2392.77253891605,2694.59908589016,0.874400409711227,NA,0.336682079115542,NA,-0.319766914223017,NA,0.18349155671072,NA,-0.525579094397825,NA,-0.0860414906953096,NA,0.216745313267305,NA,-0.161023025952028,NA,-0.103336811292739,NA,0.35072976372459,NA,-0.611316763430618,NA,0.427629541864233,NA,0
"142","SJ1P35",2012,"TP1","PIPO",0,1.08092791617759,0.415,718,290.62,-3.979999911,1050.600015761,348.291199,688.9,-24.52,0.305907150919969,0.275904358611912,41.3315646575342,14.8053783098702,19.3543938812785,6.00961622687377,4223.77582357069,4004.41706278574,26.5,5.75189372538129,1.08092791617759,0.415,718,290.62,-3.979999911,1050.600015761,348.291199,688.9,-24.52,0.305907150919969,0.275904358611912,41.3315646575342,14.8053783098702,19.3543938812785,6.00961622687377,4223.77582357069,4004.41706278574,1.08092791617759,0.415,718,290.62,-3.979999911,1050.600015761,348.291199,688.9,-24.52,0.305907150919969,0.275904358611912,41.3315646575342,14.8053783098702,19.3543938812785,6.00961622687377,4223.77582357069,4004.41706278574,0.914419629705715,0.914419629705715,-0.0131057693408311,-0.0131057693408311,-0.899168927834639,-0.899168927834639,-0.997058692533677,-0.997058692533677,-0.843896102064279,-0.843896102064279,-0.409659317794032,-0.409659317794032,0.14796727287592,0.14796727287592,0.967636596475111,0.967636596475111,0.660242544362819,0.660242544362819,0.190326731151084,0.190326731151084,0.740963541331979,0.740963541331979,0.988185563368802,0.988185563368802,0.045
"143","SJ1P36",2015,"TJP","PIJE",0,0.954275682334845,0.421,544,545.9000081,-4.37,1002.37,259.744568,608.7,-38.95,0.222732057928762,0.11807848688679,34.9088605233853,9.04970402279197,14.2595365256125,4.8741241973571,5510.57212878866,3870.39185226304,40.2,8.8103729691149,0.954275682334845,0.421,544,545.9000081,-4.37,1002.37,259.744568,608.7,-38.95,0.222732057928762,0.11807848688679,34.9088605233853,9.04970402279197,14.2595365256125,4.8741241973571,5510.57212878866,3870.39185226304,0.954275682334845,0.421,544,545.9000081,-4.37,1002.37,259.744568,608.7,-38.95,0.222732057928762,0.11807848688679,34.9088605233853,9.04970402279197,14.2595365256125,4.8741241973571,5510.57212878866,3870.39185226304,-0.134672025834896,NA,-0.216540557632977,NA,-0.560872713902758,NA,0.130091844851885,NA,-0.278279091649629,NA,-0.0975924252944517,NA,-0.0716126863063114,NA,0.351971701978241,NA,0.199460468421702,NA,-0.150263317249143,NA,-0.107187142446088,NA,-0.361778653775197,NA,0
