,FullID,Year,avg.HSF,max.HSF,min.HSF,sd.HSF,se.HSF,avg.Lum,max.Lum,min.Lum,sd.Lum,se.Lum,avg.dblwall,max.dblwall,min.dblwall,sd.dblwall,se.dblwall
129,SJP 081 2002,2002,0.527138626,6.111004693,0.051137254,0.902051519,0.050744363,5.81661962,12.065,0.6961,2.583864152,0.145353715,3.156861392,25.522,0.928,3.019650793,0.169868629
130,SJP 081 2003,2003,0.671998129,10.10732098,0.032892125,1.238340132,0.064378238,5.969777568,25.29,0.6961,2.92938357,0.1522914,3.817650811,34.2227,0.58,5.040283171,0.262031845
131,SJP 081 2004,2004,0.541681205,10.20842612,0.047293441,0.923216948,0.048657805,6.4887875,12.297,0.464,2.403533421,0.126677334,5.067045556,35.8469,0.812,7.220521696,0.380554908
132,SJP 081 2005,2005,0.378196236,4.625431034,0.073867644,0.488324617,0.027734975,5.778012258,12.993,0.464,2.433116484,0.13819173,2.701528065,19.9536,1.2761,1.338203427,0.076004847
133,SJP 081 2006,2006,1.305289615,13.34988363,0.018750314,2.100428459,0.079904064,5.307214182,27.8422,0.6961,3.564906996,0.135615453,5.731626194,39.7912,0.348,6.767586183,0.257451112
134,SJP 081 2007,2007,1.067619762,14.44991811,0.026513074,1.914961603,0.047315466,5.416457631,18.0975,0.464,3.264007799,0.080648118,5.114896947,38.6311,0.464,6.078892932,0.150199174
135,SJP 081 2008,2008,0.767598131,14.68704881,0.017645627,1.553182675,0.02812371,5.908031902,20.6497,0.232,3.023058131,0.054738965,4.102404197,39.3271,0.232,5.040486538,0.091268842
136,SJP 081 2009,2009,0.605901513,14.37463635,0.026783653,1.418437369,0.033358841,6.648463164,28.5383,0.232,2.887906055,0.067917837,3.773770575,38.6311,0.232,4.373170165,0.102848311
137,SJP 081 2010,2010,0.753894866,13.12607759,0.017044119,1.630136652,0.043993523,6.043131027,19.9536,0.232,3.395307498,0.091631299,3.427555717,38.283,0.232,5.173238647,0.139613445
138,SJP 081 2011,2011,0.809413912,14.94991811,0.019998276,1.940621823,0.067359967,5.817799277,12.297,0.232,2.717817869,0.094336835,3.76862253,39.2111,0.232,4.69912454,0.163108994
139,SJP 081 2012,2012,0.865874947,11.62596983,0.021426724,1.594547085,0.057240904,4.669374613,12.065,0.232,2.939616673,0.105526089,3.533499098,39.5592,0.232,4.476770018,0.160706678
140,SJP 081 2013,2013,0.847380377,13.99906623,0.020268617,1.758917831,0.069257322,4.728864341,12.065,0.232,2.840519534,0.111845347,3.384775349,39.9072,0.232,4.887839107,0.192458477
141,SJP 081 2014,2014,0.813617982,13.62607759,0.022057146,1.724259528,0.079703925,5.092018162,13.2251,0.232,2.99877725,0.138618527,3.202395085,39.5591,0.232,3.666553835,0.169486511
142,SJP 091 2006,2006,1.142286044,10.25008979,0.023807569,1.973146248,0.148310754,6.782283051,17.6334,0.464,4.082993334,0.306896572,6.975628814,39.7912,0.232,7.687968747,0.577863117
143,SJP 091 2007,2007,1.351496358,14.91574486,0.021426724,2.376214074,0.127561855,5.703511816,15.5452,0.232,3.794178459,0.203682172,7.143094236,38.7471,0.232,6.631235536,0.355983375
144,SJP 091 2008,2008,0.807841643,14.25008979,0.076528952,2.203528018,0.199498053,8.56947377,16.4733,0.232,3.594261998,0.325409191,6.300634426,39.6751,0.232,6.949508256,0.629178915
145,SJP 091 2009,2009,1.440544186,14.74959595,0.035711354,2.5952409,0.219337889,5.646338571,13.9211,0.232,4.102291647,0.346706924,5.690246429,32.3666,0.232,6.116823411,0.516965933
146,SJP 091 2010,2010,0.860542845,13.74964982,0.023807569,1.825042579,0.089587817,8.113384096,16.7053,0.232,4.049056615,0.198760372,6.252476386,37.8191,0.232,6.254776805,0.307034918
147,SJP 091 1990,1990,0.704906571,2.829549017,0.158331597,0.648933378,0.116551875,8.180532258,13.9211,2.5522,2.743289367,0.492709315,9.550196774,33.6427,3.8283,7.286102682,1.308622673
148,SJP 091 1991,1991,0.869700374,3.484376263,0.243902952,0.787422692,0.122974764,5.913646341,10.2088,1.1601,2.134774649,0.333395788,7.987660976,25.8701,4.1763,4.885043741,0.762915658
149,SJP 091 1992,1992,0.865003378,7.000035917,0.173912432,1.158483511,0.103617915,6.6617176,11.3689,0.9281,2.441594292,0.218382832,7.935972,39.7912,3.1323,5.862976537,0.524400563
150,SJP 091 1993,1993,0.622066506,10.87586207,0.096490764,1.134998231,0.092364846,8.898142384,16.2413,0.464,3.365171008,0.273853733,6.521101325,38.7471,2.4362,5.445941159,0.443184406
151,SJP 091 1994,1994,0.639837826,4.131532982,0.127049904,0.758582015,0.051855599,7.472300935,14.1531,0.6961,2.76495615,0.189008511,6.809308879,38.8632,2.9002,5.673991847,0.387866098
